name,category,city,lat,lon,source
Sanand Chokdi Flyover,Road,Ahmedabad,22.986828,72.4948,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.020036,72.559339,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.020164,72.560754,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.020149,72.560674,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.019947,72.558897,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.022479,72.572381,OSM
Ashram Road,Road,Ahmedabad,23.01829,72.568392,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.025188,72.492227,OSM
Mumatpura - Karnavati Club Road,Road,Ahmedabad,23.0192,72.499696,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.935792,72.5104,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.935312,72.511396,OSM
200ft. Gala Gymkhana Road,Road,Ahmedabad,23.015033,72.478335,OSM
Prahlad Nagar Road,Road,Ahmedabad,23.017719,72.507148,OSM
Prahlad Nagar Road,Road,Ahmedabad,23.011736,72.510824,OSM
Shantipura Flyover,Road,Ahmedabad,22.989041,72.471575,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.000861,72.474112,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.999398,72.474019,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.011175,72.494711,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.011166,72.49479,OSM
L.J. College Road,Road,Ahmedabad,22.992265,72.488523,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.018607,72.494557,OSM
Zaveri Circle,Road,Ahmedabad,23.018424,72.494518,OSM
Service road - Sarkhej Gandhinagar Highway,Road,Ahmedabad,23.013626,72.503484,OSM
Apang Manav Mandal Road,Road,Ahmedabad,23.023637,72.540335,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.994242,72.47222,OSM
Sabarmati Riverfront road,Road,Ahmedabad,23.011803,72.572282,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.010797,72.478316,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.995031,72.472415,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.991025,72.472121,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.987748,72.505126,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.987805,72.504962,OSM
Prahlad Nagar Road,Road,Ahmedabad,23.004516,72.509629,OSM
Prahlad Nagar Road,Road,Ahmedabad,22.998692,72.502169,OSM
Prahlad Nagar Road,Road,Ahmedabad,22.998913,72.50133,OSM
Vijubhai Dave Marg,Road,Ahmedabad,23.007657,72.516302,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,22.999865,72.489543,OSM
Manubhai Jadhani Marg,Road,Ahmedabad,23.014052,72.558412,OSM
Dhumketu Marg,Road,Ahmedabad,23.009859,72.560067,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.012073,72.561886,OSM
Vijubhai Dave Marg,Road,Ahmedabad,23.015457,72.558584,OSM
Vijubhai Dave Marg,Road,Ahmedabad,23.015556,72.55878,OSM
Manubhai Jadhani Marg,Road,Ahmedabad,23.012611,72.555561,OSM
